variable,label,source,dtype,n_missing,n_unique,min,max,value_labels
docppdeg,Doctoral degrees - professional practice,IPEDS,int64,0,329,0,1180,
docresflag,Institution confers research/scholarship doctoral degrees,CCIHE,int64,0,2,0,1,0=Did not confer research/scholarship doctoral degrees; 1=Conferred research/scholarship doctoral degrees
docrsdeg,Doctoral degrees - research/scholarship,IPEDS,int64,0,237,0,1623,
drsas,"Research/scholarship doctoral degrees in Arts & Science fields (humanities, social sciences, & STEM)",CCIHE,int64,0,197,0,788,
drsprof,Research/scholarship doctoral degrees in professional/other fields,CCIHE,int64,0,143,0,1382,
enrprofile2021,2021 Enrollment Profile Classification,CCIHE,int64,0,7,1,7,
facnum,"Number full-time of faculty in ladder rank (assistant, associate, and full professors) Fall 2020",IPEDS,float64,3637,280,0.0,5280.0,
fallenr19,Total Fall 2019 enrollment,IPEDS,int64,0,2896,0,136139,
fallenr20,Total Fall 2020 enrollment,IPEDS,int64,0,2857,2,172935,
fallfte20,Fall 2020 Full-Time Equivalent enrollment (full-time plus one-third part-time),CCIHE,float64,0,3309,0.666667,147866.0,
grcip4pr,"Number of graduate degree programs, where a program is defined at the 4-digit CIP code level",IPEDS,int64,0,165,0,246,
grft20,"Graduate full-time enrollment, fall 2020",IPEDS,int64,0,992,0,42947,
grpt20,"Graduate part-time enrollment, fall 2020",IPEDS,int64,0,940,0,39668,
grtenr20,"Graduate total enrollment, fall 2020",IPEDS,int64,0,1242,0,45361,
hbcu,Historically Black College or University,IPEDS,int64,0,2,1,2,1=Yes; 2=No
hsi,Hispanic Serving Institution (Using composite lists),"HACU (member, non-member, and emerging HSIs)",int64,0,2,0,1,1=Yes; 2=No
hum_rsd,Humanities research/scholarship doctoral degrees,IPEDS w/CCIHE Mapping,float64,3637,81,0.0,174.0,
iclevel,Level of institution,IPEDS,int64,0,2,1,2,1=Four or more years; 2=At least 2 but less than 4 years
ipgrad2021,2021 Graduate Instructional Program Classification,CCIHE,int64,0,19,0,18,
ipug2021,2021 Undergraduate Instructional Program Classification,CCIHE,int64,0,21,0,20,"0=Not Classified (Exclusively Graduate Programs); 1=Associate's Colleges: High Transfer; 2=Associate's Colleges: Mixed Transfer/Career & Technical; 3=Associate's Colleges: High Career & Technical; 4=Special Focus: Two-Year Institution; 5=Baccalaureate/Associates Colleges; 6=Arts & sciences focus, no graduate coexistence; 7=Arts & sciences focus, some graduate coexistence; 8=Arts & sciences focus, high graduate coexistence; 9=Arts & sciences plus professions, no graduate coexistence; 10=Arts & sciences plus professions, some graduate coexistence; 11=Arts & sciences plus professions, high graduate coexistence; 12=Balanced arts & sciences/professions, no graduate coexistence; 13=Balanced arts & sciences/professions, some graduate coexistence; 14=Balanced arts & sciences/professions, high graduate coexistence; 15=Professions plus arts & sciences, no graduate coexistence; 16=Professions plus arts & sciences, some graduate coexistence; 17=Professions plus arts & sciences, high graduate coexistence; 18=Professions focus, no graduate coexistence; 19=Professions focus, some graduate coexistence; 20=Professions focus, high graduate coexistence"
landgrnt,Land-grant institution,IPEDS,int64,0,2,1,2,1=Yes; 2=No
locale,Degree of urbanization (Urban-centric locale),IPEDS,int64,0,14,-3,43,-3={Not available}; 11=City Large; 12=City Midsize; 13=City Small; 21=Suburb Large; 22=Suburb Midsize; 23=Suburb Small; 31=Town Fringe; 32=Town Distant; 33=Town Remote; 41=Rural Fringe; 42=Rural Distant; 43=Rural Remote
lrgstcip2_1,Two-digit CIP code designation in which institution conferred the most degrees,CCIHE,float64,1,38,1.0,54.0,
lrgstcip2_2,Two-digit CIP code designation in which institution conferred the most degrees (if there is a tie),CCIHE,float64,3925,8,11.0,51.0,
lrgstcip2_degs,Number of degrees awarded in largest two-digit CIP code,CCIHE,int64,0,1072,0,17057,
mastdeg,Master's degrees conferred,IPEDS,int64,0,784,0,17808,
maxgpbus,Two-digit CIP under which institution confers the most graduate degrees is Business,CCIHE,int64,0,2,0,1,
maxgpeduc,Two-digit CIP under which institution confers the most graduate degrees is Education,CCIHE,int64,0,2,0,1,
maxgpoth,Two-digit CIP under which institution confers the most graduate degrees is other than Business or Education,CCIHE,int64,0,2,0,1,
medical,"Institution grants a medical degree (MD, DDS, DMD, DO, DVM)",IPEDS,int64,0,2,1,2,1=Yes; 2=No
msi,"Minority Serving Institution (HSI, HBCU, or Tribal College or University only)","HACU (HSI), IPEDS (HBCU and Tribal)",int64,0,2,0,1,0=No; 1=Yes
nact,Number of first-time entering students who submitted ACT score,IPEDS,float64,1288,618,0.0,7265.0,
name,Institution name,IPEDS,str,0,3895,,,
ngcip2dr,Number of different 2-digit CIP codes in which institution confers research/scholarship doctoral degrees,CCIHE,float64,1,27,0.0,26.0,
ngcip2pxdr,"Number of different 2-digit CIP codes in which institution confers master's, doctoral-professional practice, and doctoral-other degrees",CCIHE,float64,1,28,0.0,27.0,
nonserd,Non Science & Engineering Research & Development Expenditures ($Thousands),NSF,float64,3637,277,0.0,146396.0,
nsat,Number of first-time entering students who submitted  SAT score,IPEDS,float64,1288,677,0.0,11957.0,
numcip2,Number of different 2-digit CIP codes in which institution confers any degree,CCIHE,float64,1,33,1.0,33.0,
obereg,Region code,IPEDS,int64,0,10,0,9,0=US Service schools; 1=New England CT ME MA NH RI VT; 2=Mid East DE DC MD NJ NY PA; 3=Great Lakes IL IN MI OH WI; 4=Plains IA KS MN MO NE ND SD; 5=Southeast AL AR FL GA KY LA MS NC SC TN VA WV; 6=Southwest AZ NM OK TX; 7=Rocky Mountains CO ID MT UT WY; 8=Far West AK CA HI NV OR WA; 9=Outlying areas AS FM GU MH MP PR PW VI
ogrdas,"Master's, doctoral-professional practice, and doctoral-other degrees conferred in the Arts & Sciences",CCIHE,int64,0,417,0,4726,
ogrdprof,"Master's, doctoral-professional practice, and doctoral-other degrees conferred in the Professional fields",CCIHE,int64,0,752,0,17107,
oth_rsd,Number of research/scholarship doctoral degrees conferred in professional fields,IPEDS w/CCIHE Mapping,float64,3637,124,0.0,491.0,
pctadmitf20,Percent of applicants admitted (used with test scores for selectivity index),CCIHE,float64,1288,1609,0.0,1.0,
pctcoex,Percent of CIP4 areas in which undergraduate degrees are conferred that graduate degrees are also conferred,CCIHE,float64,0,520,0.0,1.0,
pctlrgst,Percent of total degrees conferred in CIP-2 designation under which largest number of degrees conferred,CCIHE,float64,0,2914,0.0,1.0,
pdnfrstaff,Postdoctorates and non-faculty research staff with doctorates,NSF,float64,3637,202,0.0,7147.0,
profbadeg,Number of baccalaureate degrees conferred in professional fields,CCIHE,int64,0,948,0,23881,
progmixratio,Program mix ratio used for associates college basic classification subcategories,CCIHE,float64,2991,893,0.0,1.0,
pset4flg,Postsecondary and Title IV institution indicator,IPEDS,float64,11,4,1.0,6.0,
rooms,"Total dormitory capacity (campus-owned, -operated, or -affiliated housing)",IPEDS,int64,0,1368,0,20580,
serd,Science & Engineering Research & Development Expenditures ($Thousands),NSF,float64,3637,302,539.0,3104669.0,
satacteq25,The ACT equivalent score for the combined 25th percentile SAT score,CCIHE,float64,1288,25,0.0,34.0,
satcmb25,Combined SAT-Math and SAT-Verbal 25th percentiles scores,CCIHE,float64,1288,85,0.0,1530.0,
satm25,SAT-Math 25th percentile score,IPEDS,float64,1288,99,0.0,790.0,
satv25,SAT-Verbal 25th percentile score,IPEDS,float64,1288,95,0.0,740.0,
sector,Sector of institution (control and level combined),IPEDS,int64,0,6,1,6,"1=Public, 4-year or above; 2=Private not-for-profit, 4-year or above; 3=Private for-profit, 4-year or above; 4=Public, 2-year; 5=Private not-for-profit, 2-year; 6=Private for-profit, 2-year"
sizeset2021,2021 Size and Setting Classification,CCIHE,int64,0,18,1,18,
socsc_rsd,Social Science research/scholarship doctoral degrees,IPEDS w/CCIHE Mapping,float64,3637,69,0.0,96.0,
stabbr,State abbreviation,IPEDS,str,0,59,,,
stdmixratio,Student mix ratio used for associates college basic classification subcategories,nan,float64,2991,940,0.0,1.448,
stem_rsd,STEM research/scholarship doctoral degrees,IPEDS w/CCIHE Mapping,float64,3637,171,0.0,635.0,
totdeg,Total degrees conferred,IPEDS,int64,0,1713,0,42484,
tribal,Tribal College flag,IPEDS,int64,0,2,1,2,1=Yes; 2=No
ugcip4pr,Number of different 4-digit CIP code designations in which institution confers an undergraduate degree,CCIHE,int64,0,101,0,133,
ugdsft20,Undergraduate degree-seeking full-time enrollment,IPEDS,int64,0,2341,0,104919,
ugdspt20,Undergraduate degree-seeking part-time enrollment,IPEDS,int64,0,1553,0,104526,
ugn1sttmft20,Undergraduate new first-time full-time students,IPEDS,int64,0,1313,0,15259,
ugn1sttmpt20,Undergraduate new first-time part-time students,IPEDS,int64,0,577,0,11353,
ugndft20,Undergraduate non-degree full-time students,IPEDS,int64,0,377,0,5355,
ugndpt20,Undergraduate non-degree part-time students,IPEDS,int64,0,1127,0,24160,
ugntrft20,Undergraduate new transfer-in full-time students,IPEDS,int64,0,711,0,15616,
ugntrpt20,Undergraduate new transfer-in part-time students,IPEDS,int64,0,615,0,9975,
ugprofile2021,2021 Undergraduate Profile Classification,CCIHE,int64,0,16,0,15,
ugtenr20,"Undergraduate total enrollment, fall 2020",IPEDS,int64,0,2704,0,172216,
unitid,Unique IPEDS identification number for an institution,IPEDS,int64,0,3939,100654,999911,
womens,Women's College flag,Women's College Coalition,int64,0,3,0,2,0=No; 1=Yes
